Activation,Hidden Layers,Neurons,L2_norm
Tanh(),1,1,2.025363390306285
Tanh(),1,2,2.2217513810547636
Tanh(),1,4,1.5758634592152467
Tanh(),1,8,1.4163144620010901
Tanh(),1,16,1.3762364047814253
Tanh(),1,32,1.4360106074969468
Tanh(),1,64,1.3123035102176963
Tanh(),2,1,2.2219737528599293
Tanh(),2,2,2.208056938100676
Tanh(),2,4,2.18884236156674
Tanh(),2,8,1.217154466917774
Tanh(),2,16,1.2417337762161798
Tanh(),2,32,1.3399067268362725
Tanh(),2,64,1.250438704753537
Tanh(),4,1,2.141347819341463
Tanh(),4,2,2.1175579127079085
Tanh(),4,4,1.3710414430905709
Tanh(),4,8,1.249429618401089
Tanh(),4,16,1.2926641210249306
Tanh(),4,32,1.2760880558638417
Tanh(),4,64,1.3112106529710792
Tanh(),6,1,1.989905555822625
Tanh(),6,2,2.0883446726246335
Tanh(),6,4,1.2605589193141669
Tanh(),6,8,1.369680985111702
Tanh(),6,16,1.27140432735737
Tanh(),6,32,1.2871415611491612
Tanh(),6,64,1.3079843497083714
Tanh(),8,1,1.9921617645396545
Tanh(),8,2,1.1497227210093215
Tanh(),8,4,1.2353034359449593
Tanh(),8,8,1.2628113617640564
Tanh(),8,16,1.245505959526025
Tanh(),8,32,1.264731793222999
Tanh(),8,64,1.232880325288864
Tanh(),10,1,1.9920232775450315
Tanh(),10,2,1.7352278308625644
Tanh(),10,4,1.255003414073419
Tanh(),10,8,1.26622249110204
Tanh(),10,16,1.2025125901798348
Tanh(),10,32,1.259009220589467
Tanh(),10,64,1.227401124036926
Tanh(),12,1,2.0518033911078613
Tanh(),12,2,1.973008554555113
Tanh(),12,4,1.0966972707016522
Tanh(),12,8,1.2200236859132914
Tanh(),12,16,1.228980498790054
Tanh(),12,32,1.176624230618308
Tanh(),12,64,1.1940829307088165
Tanh(),15,1,1.9920240435394003
Tanh(),15,2,1.435285637369734
Tanh(),15,4,1.1773050627145707
Tanh(),15,8,1.2886065718335664
Tanh(),15,16,1.2114942646465499
Tanh(),15,32,1.2275661449130628
Tanh(),15,64,1.2375128851325714
ReLU(),1,1,2.253897787570769
ReLU(),1,2,1.9545318370772162
ReLU(),1,4,2.23855862428382
ReLU(),1,8,5.156296874786934
ReLU(),1,16,5.077492749102405
ReLU(),1,32,5.17172582866445
ReLU(),1,64,5.462510056126328
ReLU(),2,1,1.99202389034055
ReLU(),2,2,1.9736614085168585
ReLU(),2,4,4.67796895614833
ReLU(),2,8,3.856343539941284
ReLU(),2,16,5.406125811434886
ReLU(),2,32,5.536665119413604
ReLU(),2,64,5.5761662790033215
ReLU(),4,1,1.9919849774510412
ReLU(),4,2,1.99202389034055
ReLU(),4,4,2.048713838864444
ReLU(),4,8,5.370579577661986
ReLU(),4,16,5.527011750188229
ReLU(),4,32,5.521569256179012
ReLU(),4,64,5.818744125936885
ReLU(),6,1,2.0488648784239194
ReLU(),6,2,1.99202389034055
ReLU(),6,4,1.99202389034055
ReLU(),6,8,5.479398561315831
ReLU(),6,16,5.5038727043867715
ReLU(),6,32,5.499586499015744
ReLU(),6,64,5.432923720820126
ReLU(),8,1,1.99202389034055
ReLU(),8,2,1.9920233541444818
ReLU(),8,4,1.99202389034055
ReLU(),8,8,5.528944390588383
ReLU(),8,16,5.5914055404673295
ReLU(),8,32,5.432373885803171
ReLU(),8,64,5.8079430221411
ReLU(),10,1,1.99202389034055
ReLU(),10,2,1.99202389034055
ReLU(),10,4,2.0667309822821642
ReLU(),10,8,2.0071316026877293
ReLU(),10,16,5.667984633420198
ReLU(),10,32,5.465679941833632
ReLU(),10,64,5.500431002288593
ReLU(),12,1,1.99202389034055
ReLU(),12,2,1.99202389034055
ReLU(),12,4,1.99202389034055
ReLU(),12,8,5.488934402860563
ReLU(),12,16,5.441074390903303
ReLU(),12,32,5.752293403029025
ReLU(),12,64,5.0819949196433924
ReLU(),15,1,1.99202389034055
ReLU(),15,2,1.99202389034055
ReLU(),15,4,1.99202389034055
ReLU(),15,8,1.9905638297606945
ReLU(),15,16,5.367890692653982
ReLU(),15,32,5.658186391608843
ReLU(),15,64,5.46687289213404
ELU(alpha=1.0),1,1,2.2108557156914306
ELU(alpha=1.0),1,2,2.21290300222708
ELU(alpha=1.0),1,4,1.7128686661220738
ELU(alpha=1.0),1,8,1.482166068179308
ELU(alpha=1.0),1,16,1.5267590992582847
ELU(alpha=1.0),1,32,1.4856150248140076
ELU(alpha=1.0),1,64,1.4109818393503732
ELU(alpha=1.0),2,1,2.2206548546314977
ELU(alpha=1.0),2,2,2.2174584984578205
ELU(alpha=1.0),2,4,1.5937923171465322
ELU(alpha=1.0),2,8,1.3577924404264803
ELU(alpha=1.0),2,16,1.4501289573413538
ELU(alpha=1.0),2,32,1.297811397163479
ELU(alpha=1.0),2,64,1.5267254183151886
ELU(alpha=1.0),4,1,2.005819703539047
ELU(alpha=1.0),4,2,2.1694209663183313
ELU(alpha=1.0),4,4,1.4896977961740365
ELU(alpha=1.0),4,8,1.2629582243932298
ELU(alpha=1.0),4,16,1.2972669188490988
ELU(alpha=1.0),4,32,1.2401418518637861
ELU(alpha=1.0),4,64,1.2870692449168917
ELU(alpha=1.0),6,1,1.992794408167249
ELU(alpha=1.0),6,2,1.8211064859057013
ELU(alpha=1.0),6,4,1.6501003350471317
ELU(alpha=1.0),6,8,1.1865931210247602
ELU(alpha=1.0),6,16,1.21922967323378
ELU(alpha=1.0),6,32,1.2377627931787796
ELU(alpha=1.0),6,64,1.2804944895216506
ELU(alpha=1.0),8,1,2.107037550393806
ELU(alpha=1.0),8,2,2.1034153368038284
ELU(alpha=1.0),8,4,2.0774747132232516
ELU(alpha=1.0),8,8,1.1448795598415444
ELU(alpha=1.0),8,16,1.2772680716304783
ELU(alpha=1.0),8,32,1.203730506620298
ELU(alpha=1.0),8,64,1.1182491950397422
ELU(alpha=1.0),10,1,2.0850739961296187
ELU(alpha=1.0),10,2,1.6248341637134271
ELU(alpha=1.0),10,4,1.3486885765308623
ELU(alpha=1.0),10,8,1.2096025277530154
ELU(alpha=1.0),10,16,1.371600967879467
ELU(alpha=1.0),10,32,1.16866644086326
ELU(alpha=1.0),10,64,1.3490734735590004
ELU(alpha=1.0),12,1,2.09271371276478
ELU(alpha=1.0),12,2,1.824630574499517
ELU(alpha=1.0),12,4,1.2249190946058757
ELU(alpha=1.0),12,8,1.2853739248596046
ELU(alpha=1.0),12,16,1.439546352561068
ELU(alpha=1.0),12,32,1.1910369560856282
ELU(alpha=1.0),12,64,1.1989345907229598
ELU(alpha=1.0),15,1,2.0669992650976106
ELU(alpha=1.0),15,2,2.0636871435527344
ELU(alpha=1.0),15,4,1.3344769977117907
ELU(alpha=1.0),15,8,1.502876626032946
ELU(alpha=1.0),15,16,1.1464626142526002
ELU(alpha=1.0),15,32,1.4085960790156842
ELU(alpha=1.0),15,64,2.006030945985131
Sigmoid(),1,1,2.1521326887214185
Sigmoid(),1,2,2.145017875116735
Sigmoid(),1,4,2.2184604509571355
Sigmoid(),1,8,1.9133909855219247
Sigmoid(),1,16,2.0444125813383107
Sigmoid(),1,32,1.9514994798171386
Sigmoid(),1,64,2.1184578032983024
Sigmoid(),2,1,1.9879842300250083
Sigmoid(),2,2,2.171927270054467
Sigmoid(),2,4,2.1487491251270763
Sigmoid(),2,8,2.2000583294158433
Sigmoid(),2,16,2.1723604869931736
Sigmoid(),2,32,2.205305326260119
Sigmoid(),2,64,2.1727265501256925
Sigmoid(),4,1,2.001664956394114
Sigmoid(),4,2,2.008692505351351
Sigmoid(),4,4,2.0906714920325613
